epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9008,1.59124,11.6818,1.59312,0.70281,0.6453,0.7028,0.38234,1.70157,10.2659,1.83119,0.00018,0.00018,0.00018
2,9.49624,1.63204,5.94988,1.61354,0.52269,0.74699,0.51012,0.16886,2.21001,13.3326,2.31372,0.000372476,0.000372476,0.000372476
3,12.6644,1.58772,4.18233,1.43826,0.05929,0.31818,0.05857,0.02815,1.55465,15.5481,1.58459,0.000557032,0.000557032,0.000557032
4,15.6518,1.50435,2.45624,1.36603,0.00252,0.13636,0.00147,0.00028,3.86334,25.8178,3.49844,0.000733668,0.000733668,0.000733668
5,18.8168,1.34557,1.87949,1.26847,0.00119,0.45455,0.00144,0.00036,3.43401,12.2212,3.48818,0.000902384,0.000902384,0.000902384
6,22.077,1.48546,1.70086,1.41927,0.00362,0.81818,0.0035,0.00109,3.08365,664.375,4.4438,0.00106318,0.00106318,0.00106318
7,25.0305,1.56926,1.66202,1.42454,0.0092,0.72727,0.00965,0.00376,2.05736,25.6228,2.50169,0.00121606,0.00121606,0.00121606
8,28.0546,1.59135,1.55497,1.45269,0.09615,0.72727,0.12738,0.04586,1.64404,19.6517,2.08008,0.00136101,0.00136101,0.00136101
9,31.3004,1.4243,1.35415,1.3317,0.61495,0.72727,0.73232,0.32163,1.62843,8.96885,2.03886,0.00149805,0.00149805,0.00149805
10,34.7114,1.29298,1.4274,1.38342,0.93006,0.77273,0.91193,0.43728,1.79691,6.23128,2.26934,0.00162716,0.00162716,0.00162716
11,38.2485,1.45375,1.36953,1.397,0.60236,0.81818,0.71697,0.26424,1.76278,11.8727,2.26756,0.001604,0.001604,0.001604
12,41.4223,1.43241,1.12333,1.46608,0.33201,0.18182,0.20345,0.10537,1.9715,15.9753,1.95994,0.0015644,0.0015644,0.0015644
13,45.01,1.41627,1.10058,1.43352,0.01511,0.72727,0.01529,0.00656,2.09521,5.26692,1.89219,0.0015248,0.0015248,0.0015248
14,48.5322,1.31152,1.04624,1.41553,0.07647,0.22727,0.0492,0.01153,2.2214,17.8017,2.00648,0.0014852,0.0014852,0.0014852
15,51.9653,1.42123,0.98876,1.44612,0.06488,0.40909,0.06879,0.02491,2.40067,14.3316,2.06569,0.0014456,0.0014456,0.0014456
16,55.2626,1.336,0.93531,1.39152,0.27389,0.36364,0.28554,0.14768,1.87115,3.69586,1.87397,0.001406,0.001406,0.001406
17,58.5885,1.27155,1.03792,1.25339,0.45192,0.40909,0.41685,0.21854,1.80946,2.56528,1.69453,0.0013664,0.0013664,0.0013664
18,61.9709,1.34261,0.94197,1.36342,0.32116,0.95455,0.40563,0.20176,1.62933,2.271,1.57606,0.0013268,0.0013268,0.0013268
19,65.6076,1.29442,0.86563,1.28906,0.4253,0.95455,0.57245,0.29668,1.69695,2.42309,1.68212,0.0012872,0.0012872,0.0012872
20,69.3203,1.28633,0.9041,1.29172,0.9136,0.96152,0.9875,0.46274,1.73925,1.23098,1.79214,0.0012476,0.0012476,0.0012476
21,72.8378,1.21802,0.84325,1.31086,0.99224,1,0.995,0.47982,1.62221,0.8087,1.78391,0.001208,0.001208,0.001208
22,76.2784,1.13688,0.73977,1.24133,0.94448,0.86364,0.89139,0.35626,1.97599,1.28137,2.20886,0.0011684,0.0011684,0.0011684
23,79.8382,1.29745,0.77277,1.33541,0.97779,0.86364,0.90401,0.38699,1.98325,1.19654,2.22527,0.0011288,0.0011288,0.0011288
24,83.4109,1.37846,0.86426,1.34941,0.96679,0.86364,0.97108,0.45494,1.7142,1.06863,1.90211,0.0010892,0.0010892,0.0010892
25,86.8839,1.27917,0.8175,1.32615,0.89126,0.90909,0.97328,0.4655,1.65643,0.93898,1.71872,0.0010496,0.0010496,0.0010496
26,90.0639,1.21602,0.69804,1.26645,0.86628,0.90909,0.95654,0.43335,1.64568,0.91495,1.64999,0.00101,0.00101,0.00101
27,93.5938,1.15598,0.77633,1.22678,0.85072,0.90909,0.94894,0.44432,1.76213,0.98924,1.80043,0.0009704,0.0009704,0.0009704
28,97.042,1.03935,0.74562,1.18962,0.83168,0.89871,0.88591,0.42362,1.82813,1.00526,1.92306,0.0009308,0.0009308,0.0009308
29,100.509,1.12977,0.69344,1.24308,0.98591,0.90909,0.98793,0.4013,1.80081,0.90837,1.91152,0.0008912,0.0008912,0.0008912
30,103.777,1.13331,0.70123,1.25131,0.9466,1,0.99109,0.47244,1.99605,0.84634,2.08303,0.0008516,0.0008516,0.0008516
31,107.295,1.25597,0.74135,1.30141,0.95424,0.94812,0.98939,0.47139,2.00756,0.85855,1.99814,0.000812,0.000812,0.000812
32,110.972,1.33907,0.72583,1.3419,1,0.94914,0.98885,0.4555,1.98957,0.83696,2.02182,0.0007724,0.0007724,0.0007724
33,114.416,1.10239,0.72247,1.22132,0.95385,0.93994,0.95332,0.42951,1.96704,0.88632,2.12984,0.0007328,0.0007328,0.0007328
34,117.805,1.15286,0.79942,1.26594,0.91058,1,0.9875,0.37922,2.01991,0.84405,2.12664,0.0006932,0.0006932,0.0006932
35,120.739,1.08026,0.65878,1.19836,0.91509,0.98017,0.98758,0.40244,1.93171,0.76869,2.04523,0.0006536,0.0006536,0.0006536
36,124.281,1.12306,0.75278,1.22355,0.99228,1,0.995,0.43679,1.82127,0.75339,1.95962,0.000614,0.000614,0.000614
