epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2665,1.38796,1.04644,1.43305,0.86995,0.78313,0.82102,0.42593,1.28358,0.90388,1.21271,0.0670243,9.92248e-05,9.92248e-05
2,45.0068,1.42246,1.04914,1.46656,0.85627,0.84337,0.82493,0.44837,1.26221,0.89735,1.1797,0.0337899,0.000198121,0.000198121
3,64.3058,1.31771,0.98326,1.36654,0.86923,0.81928,0.81782,0.44021,1.23687,0.8638,1.14662,0.000551032,0.000292635,0.000292635
4,81.9584,1.33573,0.95789,1.41721,0.85047,0.82234,0.81641,0.41562,1.29569,0.97288,1.18119,0.000285286,0.000285286,0.000285286
5,98.8178,1.27143,0.89804,1.36909,0.86504,0.86747,0.82792,0.43486,1.27177,1.01703,1.17805,0.000274217,0.000274217,0.000274217
6,115.732,1.25474,0.92507,1.39313,0.8781,0.89157,0.8325,0.44042,1.25758,1.00004,1.168,0.000260459,0.000260459,0.000260459
7,133.442,1.27279,0.91352,1.34826,0.88053,0.85542,0.84142,0.44925,1.25259,1.02844,1.15677,0.000244351,0.000244351,0.000244351
8,151.161,1.24388,0.9238,1.36929,0.87412,0.83133,0.84802,0.44732,1.2633,1.01142,1.16247,0.000226289,0.000226289,0.000226289
9,168.933,1.24462,0.93239,1.3354,0.86541,0.85216,0.83628,0.4436,1.27792,0.95753,1.1712,0.000206717,0.000206717,0.000206717
10,186.378,1.24671,0.8678,1.34146,0.84967,0.90361,0.84851,0.4505,1.24528,0.9415,1.15882,0.000186119,0.000186119,0.000186119
11,205.852,1.1438,0.83391,1.26514,0.8218,0.88903,0.83155,0.43216,1.26071,0.99065,1.16295,0.000165,0.000165,0.000165
12,222.737,1.15219,0.84505,1.28866,0.80947,0.87022,0.81456,0.42564,1.30968,1.04297,1.1874,0.000143881,0.000143881,0.000143881
13,240.379,1.17187,0.84874,1.31441,0.81654,0.87952,0.81266,0.41998,1.30142,0.98709,1.16816,0.000123283,0.000123283,0.000123283
14,258.723,1.11081,0.76168,1.26269,0.80119,0.87952,0.81166,0.4398,1.27183,1.01815,1.15516,0.000103711,0.000103711,0.000103711
15,276.479,1.13216,0.84277,1.27792,0.80144,0.87535,0.81013,0.44689,1.24768,1.01839,1.15329,8.5649e-05,8.5649e-05,8.5649e-05
16,294.931,1.15024,0.76643,1.30168,0.84147,0.83136,0.83131,0.46665,1.25614,1.02166,1.17136,6.95406e-05,6.95406e-05,6.95406e-05
17,317.916,1.08995,0.66533,1.23457,0.84581,0.85917,0.83941,0.45676,1.27492,1.01677,1.18615,5.57827e-05,5.57827e-05,5.57827e-05
18,340.292,1.04619,0.66554,1.22253,0.84064,0.85542,0.82778,0.44176,1.28309,1.03673,1.18099,4.47141e-05,4.47141e-05,4.47141e-05
19,360.139,1.06537,0.67719,1.23876,0.8293,0.85542,0.81049,0.42842,1.29132,1.06698,1.18684,3.66074e-05,3.66074e-05,3.66074e-05
20,380.662,1.09671,0.68259,1.27908,0.84608,0.85542,0.81844,0.42985,1.28459,1.08161,1.18618,3.16621e-05,3.16621e-05,3.16621e-05
