epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5846,1.20435,1.03972,1.37354,0.92564,0.96296,0.97488,0.4822,1.81444,0.8755,1.8694,0.00038,0.00038,0.00038
2,49.5116,1.27545,1.22081,1.44366,0.92453,0.90746,0.97143,0.56267,1.41528,1.08358,1.56672,0.000775679,0.000775679,0.000775679
3,70.5636,1.21156,1.07473,1.39429,0.94435,0.94269,0.97835,0.53129,1.57113,0.86705,1.63635,0.00115401,0.00115401,0.00115401
4,91.0657,1.28814,1.1501,1.42684,0.934,0.81481,0.89483,0.41794,1.77989,4.15372,1.9011,0.00150251,0.00150251,0.00150251
5,111.386,1.39177,1.13688,1.46271,0.80267,0.60273,0.6883,0.33958,1.91777,1.97825,1.9761,0.00180983,0.00180983,0.00180983
6,131.07,1.26798,1.14928,1.41513,0.95049,0.87037,0.90909,0.46385,1.80469,2.08634,1.88675,0.0017364,0.0017364,0.0017364
7,151.661,1.2717,1.05557,1.37077,0.93158,0.81481,0.89569,0.49587,1.65249,1.92655,1.75942,0.00162901,0.00162901,0.00162901
8,173.444,1.30758,1.08797,1.45456,0.89109,0.87037,0.9281,0.47468,1.65777,1.95947,1.82414,0.00150859,0.00150859,0.00150859
9,194.477,1.2823,1.03809,1.43147,0.85156,0.64815,0.77012,0.3329,2.27712,1.2933,2.38352,0.00137812,0.00137812,0.00137812
10,215.315,1.24745,1.09416,1.41146,0.93578,0.80967,0.91466,0.45445,1.77247,1.17461,1.8595,0.00124079,0.00124079,0.00124079
