epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4701,1.33496,1.04,1.41824,0.78384,0.59036,0.65545,0.3011,1.99149,1.73489,1.77604,0.068096,9.6e-05,9.6e-05
2,40.8329,1.29154,0.95358,1.3793,0.83428,0.80723,0.78563,0.42149,1.65869,1.07713,1.57633,0.0351939,0.00019392,0.00019392
