epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7529,1.57006,1.53407,1.56309,0.90215,0.81159,0.83056,0.38922,1.88382,1.51261,1.76749,0.00054,0.00054,0.00054
2,59.2255,1.56447,1.32706,1.5388,0.85572,0.77367,0.84312,0.38298,1.88243,1.1717,1.74107,0.00109391,0.00109391,0.00109391
3,81.8171,1.54458,1.19007,1.55702,0.86684,0.78261,0.83013,0.30994,2.12874,2.87029,2.15882,0.00162344,0.00162344,0.00162344
4,104.115,1.5886,1.32246,1.58103,0.71321,0.6087,0.62018,0.28824,2.01649,4.02105,1.88217,0.00190191,0.00190191,0.00190191
5,126.413,1.49335,1.22819,1.51665,0.58926,0.2029,0.17073,0.08734,2.82555,11.3047,2.99716,0.00182812,0.00182812,0.00182812
6,147.715,1.50383,1.2945,1.53364,0.84232,0.76812,0.83235,0.40499,1.88129,6.39028,1.87026,0.0017364,0.0017364,0.0017364
7,169.597,1.48254,1.21752,1.51842,0.87441,0.84058,0.7689,0.33597,2.04202,1.56348,1.94545,0.00162901,0.00162901,0.00162901
8,192.349,1.46483,1.2291,1.48799,0.83977,0.84058,0.80891,0.33248,2.01837,1.59799,1.78476,0.00150859,0.00150859,0.00150859
9,214.462,1.50444,1.14296,1.51189,0.86235,0.76812,0.80617,0.28019,2.0798,1.41196,1.85821,0.00137812,0.00137812,0.00137812
10,236.019,1.43742,1.13451,1.48524,0.83946,0.83363,0.84253,0.39097,2.01035,2.48026,1.82344,0.00124079,0.00124079,0.00124079
11,258.571,1.38819,1.09816,1.43828,0.89622,0.8761,0.87651,0.42015,1.79008,1.04973,1.80241,0.0011,0.0011,0.0011
12,281.192,1.44903,1.04417,1.493,0.89473,0.92754,0.89518,0.45187,1.70522,0.93513,1.62837,0.000959209,0.000959209,0.000959209
13,305.886,1.42664,1.06902,1.47616,0.89647,0.87847,0.82045,0.38834,1.85635,1.14258,1.75859,0.000821885,0.000821885,0.000821885
14,329.957,1.3021,0.92354,1.37726,0.88438,0.88689,0.88861,0.40832,1.76872,1.06732,1.72607,0.000691409,0.000691409,0.000691409
15,353.604,1.27454,0.95874,1.35108,0.89484,0.91304,0.89406,0.40973,1.77364,0.96787,1.67829,0.000570993,0.000570993,0.000570993
16,375.279,1.22353,0.81652,1.36509,0.89549,0.86927,0.89388,0.34192,1.92176,0.92416,1.78179,0.000463604,0.000463604,0.000463604
17,396.838,1.23795,0.74081,1.34757,0.88565,0.89801,0.85909,0.37703,1.85096,0.95507,1.7263,0.000371885,0.000371885,0.000371885
18,418.421,1.14251,0.6954,1.32363,0.90066,0.91979,0.8682,0.41336,1.80514,0.99627,1.69969,0.000298094,0.000298094,0.000298094
19,438.655,1.14381,0.69183,1.2993,0.87088,0.87976,0.82785,0.36145,2.01081,0.93409,1.8172,0.000244049,0.000244049,0.000244049
20,457.428,1.11065,0.66105,1.27981,0.89545,0.89855,0.84981,0.40801,1.8821,0.90583,1.77588,0.00021108,0.00021108,0.00021108
